choice;bank_partner;choice_1;choice_2;choice_3;choice_4;choice_5
;SAS MAGASIN DE HARD DISCOUNT D;FCO;SADIMA;SAS SEMAD;SIS;SIS
;SAS MAHDD;SAS MAHDD 829;SAS MAHDD 838;SAS MAHDD BRAS PANON INACTIF;SAS MAHDD SAINT BENOIT;SAS SEMAD
MIYAKO RUN;SAS MIYAKO RUN;MIYAKO RUN;CASA MIA;EMPANADAS MIKOU;MAK YUEN;MILANO
PETRIN DE PROVENCE/SAS PELTIER;SAS PELTIER;PETRIN DE PROVENCE/SAS PELTIER;FRAIS PEI;LTZ;M.C MASSA CENTER;PAELLERA
;SAS PROS DISTRI TROIS BASSINS;SUPER U TROIS BASSINS;MAIRIE DES TROIS BASSINS;SAS DISTRI POSSESSION;SAS L'APRO;DISTRIFOOD OI
SD LA PLAINE;SD LA PLAINE;SD LA PLAINE;BOULANGERIE PATISSERIE DE LA PLAINE;HARAS DE LA PLAINE;ROTISSOIRE DE LA PLAINE;SD LAPLAINE
SD VINCENDO;SD VINCENDO;SD VINCENDO;CJS VINCENDO;ASS SPORTIVE CULTURELLE ET EDUCATIVE DE VINCENDO/ASCE DE VINCENDO;BOXING CLUB DE VINCENDO;MIO PIZZA VINCENDO/JONOALTI
LEADER PRICE HERMITAGE (INT) SECH;SECH;LEADER PRICE HERMITAGE (INT) SECH;LMG MAG LEADER PRICE HERMITAGE (INT) SECH;AFFUT ILE/HOLZ DENIS CHARLES;AH FAT JOSEPH;ASS JEAN PETIT FOOTBALL CLUB ST- JOSEPH
;SECP SAS;INTERMARK SEMC SAS / SAINT PIERRE 400;CEPASCO SAS;COLLEGE JOSEPH SUACOT;INTERMARK SEMU SAS/ SAINT PIERRE UGO;SOGEREP S.A.S
;SELARL HIROU;ELMA;SARL HDG;EARL FOLIO;SNL;LE BIYOU
;SES LA MONTAGNE;FRUIT&VEG LEADER PRICE LA MONTAGNE (INT);LEADER PRICE LA MONTAGNE (INT);CAP LA MONTAGNE;LS FONTAINE;LA ZONE
SES LE GUILLAUME;SES LE GUILLAUME;SES LE GUILLAUME;NON ACTIF // LEADER PRICE LE GUILLAUME (SAS DAM & FILS);FRUIT&VEG LP LE GUILLAUME;ELITE GRILL;CABRE-IBARRA-DOMENC GUILLAUME
LEADER PRICE ST JOSEPH (SESJ) (INT);SESJ;LEADER PRICE ST JOSEPH (SESJ) (INT);AUX 400 GOURMANDISES;DALEUSES;EURL LES BIBASSES;NATURE ET GOURMANDISES
;SGC SAINT PIERRE;I'M TACOS SAINT PIERRE;INTERMARK SEMC SAS / SAINT PIERRE 400;INTERMARK SEMU SAS/ SAINT PIERRE UGO;PROMOCASH SAINT PIERRE/VINDEMIA DISTRIBUTION;FB SAINT PIERRE
SGS SARL;SGS;SGS SARL;CHEN TAO EXPRESS;CHENAI EXPRESS;DRINK EXPRESS;JOHN ROSS
SL FOOD/SUSH'ILE;SL FOOD;ASL FOOD;SL FOOD/SUSH'ILE;ALLO FOOD NIGHT;D'LISS FOOD;FAST FOOD DU BUTOR/DJOOSSY'S
;SM DIS SARL;ACS SARL;SDC SARL;SGS SARL;TPS SARL;ATELIER DE NORMANDIE SARL
SNACK LE SAMOUSSAS DU SUD;SNACK LE SAMOUSSA DU SUD;SNACK LE SAMOUSSAS DU SUD;SNACK LE QG;LE VRAI SAMOUSSA DU SUD;SNACK FLO;MOUSSEAU
;SOCIETE D EXPLOITATION DES MAGASINS CARDAMONE;ATOM;ERPL;SCII;SOCOTEC;O PAIN DES ANGES
;SOCIETE D'EXPLOITATION DES MAGASINS D'UGO;ATOM;ERPL;SCII;SOCOTEC;O PAIN DES ANGES
SERGIO BURGER;SOCIETE SERGIO BURGER;SERGIO BURGER;SCII;SERR;MONA BURGER;SOCOTEC
U EXPRESS LE PORT SOCOZ;SOCOZ;U EXPRESS LE PORT SOCOZ;FOYER SOCIO EDUCATIF DU COLLEGE 14EME KM TAMPON;LM FRAICHEUR SUPER U SOCOYONG;SOCODIS;SOCOTEC
;SOCOZ SA;CEPASCO SAS;AH SOON SARL U EXPRESS 14EME;VINDEMIA DISTRIBUTION JUMBO SCORE SAVANNAH;SOCODIS;FCO
SAS SODHYNORD;SODHYNORD;SAS SODHYNORD;SAS SODHYOUEST;SAS SODHYOUEST 812;SORINORD;DU NORD AU SUD/D NS
SAS SODHYOUEST;SODHYOUEST SAS;SAS SODHYOUEST;SAS SODHYOUEST 812;DELICES DE ZHOU SAS;ESTREA;LES 2 AS
;SODIS SAS;COURTOIS SEBASTIEN;U EXP ST BENOIT / SD SB SAS;SPOI SAS;CODISMA;SOCODIS
